Collection,User Question,Document Content,Document ID,Rating,Distance,Timestamp,Score
QMS,wif,"The Warranty Inspection must be done for each delivery . In case of partial delivery , the process remains the same except that Inspector indicates that the delivery is not complete using the Partial/Complete delivery checkbox . When new items are received from a previous delivery , the WIF number must remain the same and the WIF version must be increased . The new version of the WIF must be stored in the same folder than the previous one .",0,2,1.3796644074391171,2023-10-18 14:24:25,
QMS,wif,"The Warranty Inspection must be done for each delivery . In case of partial delivery , the process remains the same except that Inspector indicates that the delivery is not complete using the Partial/Complete delivery checkbox . When new items are received from a previous delivery , the WIF number must remain the same and the WIF version must be increased . The new version of the WIF must be stored in the same folder than the previous one .",0,5,1.3796644074391171,2023-10-18 14:36:29,
Skyminer,what is skyminer,"Skyminer ( full version ) contains all the baseline Skyminer features , analytics features , and optional modules that can be activated on-demand . c . f . Optional Modules",3,3,0.6037967205047607,2023-10-18 14:53:18,
Skyminer,what is skyminer,"Skyminer system is a Big Data storage and analytics engine integrated with our corporate products , systems and solutions . It is capable of storing billions of samples with different data types , while maintaining efficient storage and outstanding write and read performances . Skyminer provides features to analyze data over time , organisational , or geospatial dimensions within and/or between data series .",2,4,0.4594981670379638,2023-10-18 14:53:19,
Skyminer,what is skyminer,"Skyminer system is a Big Data storage and analytics engine integrated with Kratos products , systems and solutions . It allows its users to store billions of samples with different data types over time , while maintaining efficient storage and outstanding write and read performances . Skyminer provides features to analyze data over time , organisational , or geospatial dimensions within and/or between data series .",1,5,0.4486711919307709,2023-10-18 14:53:21,
QMS,wif,"The Warranty Inspection must be done for each delivery . In case of partial delivery , the process remains the same except that Inspector indicates that the delivery is not complete using the Partial/Complete delivery checkbox . When new items are received from a previous delivery , the WIF number must remain the same and the WIF version must be increased . The new version of the WIF must be stored in the same folder than the previous one .",0,4,1.3796644074391171,2023-10-18 14:53:40,
QMS,wif,"This note covers the detailed step of the Receiving process . The process is applied to the reception of goods ( physical , immaterial ) and services . This process outputs the following records : The Receiving Form ( RF ): To record the receipt of purchased goods or services . The RF is needed by accounting department in order to process the invoices from suppliers , To verify the match between the Purchase Order ( PO ) and the received goods or services The Warranty Inspection Form ( WIF ): To collect key information for the project ( input to the configuration management process ), To verify that the goods & services are compliant to the purpose .",1,2,1.5204171101050958,2023-10-18 14:53:45,
QMS,wif,"This work instruction describes how the Quality documents are created , published and used at Kratos Communications SAS . This work instruction include quality system management documents as : quality manual , procedures , work instructions , templates , forms . The other documents are managed under the work instruction PD-001-WI015",3,4,1.6685118675231934,2023-10-18 14:53:48,
QMS,wif,"The Warranty Inspection must be done for each delivery . In case of partial delivery , the process remains the same except that Inspector indicates that the delivery is not complete using the Partial/Complete delivery checkbox . When new items are received from a previous delivery , the WIF number must remain the same and the WIF version must be increased . The new version of the WIF must be stored in the same folder than the previous one .",0,4,1.3796644074391171,2023-10-20 12:06:44,
QMS,wif,"This note covers the detailed step of the Receiving process . The process is applied to the reception of goods ( physical , immaterial ) and services . This process outputs the following records : The Receiving Form ( RF ): To record the receipt of purchased goods or services . The RF is needed by accounting department in order to process the invoices from suppliers , To verify the match between the Purchase Order ( PO ) and the received goods or services The Warranty Inspection Form ( WIF ): To collect key information for the project ( input to the configuration management process ), To verify that the goods & services are compliant to the purpose .",1,4,1.5204171101050958,2023-10-20 12:06:48,
QMS,wif,"The Warranty Inspection must be done for each delivery . In case of partial delivery , the process remains the same except that Inspector indicates that the delivery is not complete using the Partial/Complete delivery checkbox . When new items are received from a previous delivery , the WIF number must remain the same and the WIF version must be increased . The new version of the WIF must be stored in the same folder than the previous one .",0,3,1.3796644074391171,2023-10-20 13:59:51,
QMS,wif,"The Warranty Inspection must be done for each delivery . In case of partial delivery , the process remains the same except that Inspector indicates that the delivery is not complete using the Partial/Complete delivery checkbox . When new items are received from a previous delivery , the WIF number must remain the same and the WIF version must be increased . The new version of the WIF must be stored in the same folder than the previous one .",0,4,1.3796644074391171,2023-10-20 14:25:53,
Skyminer-T,how install skyminer,"Context : (Documentation = Administrastion Manual, Title = Prerequisites, Chapter = System) To install Skyminer , the following items are required : A Linux server with a recent kernel Docker and docker-compose or docker compose v2+ A Firewall configuration with the required ports open ( see Firewall configuration ). It is not recommended to disable the firewall as it would prevent the system from working properly . Disable Linux swap ( see Disable Linux Swap ) It is also highly recommended to synchronize the host ( s ) to a reliable time reference using NTP or any similar protocol . See NTP Configuration . You may need unzip tool to extract the delivery package . The installation script requires the following standard linux tools : awk bash curl openssl ping sed For agents , you must have Java 8 or 11 installed .",1,5,,2023-11-10 16:23:18,0.6654515266418457
Skyminer-T,how install skyminer,"Context : (Documentation = Administrastion Manual, Title = Upgrade protocol to 2.7, Chapter = Install Skyminer new version) For each server on cluster , install Skyminer v2 . 7 : cd <path_to_skyminer2 . 7>/installation sudo ./quick_start_skyminer . sh --conf <path-to-custom-skyminer-settings-file> <path-to-custom-skyminer-settings-file> is path to the file generated on Prepare 2 . 7 . x installation step ( cf . Prepare 2 . 7 . x installation )",0,5,,2023-11-10 16:23:21,0.7090274095535278
