Application Name,Conversation,Document Content,Rating,Timestamp,Comment
general,"[{'role': 'user', 'content': 'Hi'}, {'role': 'assistant', 'content': ' Hello! How can I help you today?\n'}]",,1,2024-01-18 10:57:39,gg
general,"[{'role': 'user', 'content': 'hi'}, {'role': 'assistant', 'content': ' Hello! How can I help you today?\n'}]",,1,2024-01-18 10:58:53,
general,"[{'role': 'user', 'content': 'hi'}, {'role': 'assistant', 'content': ' Hello! How can I help you today?\n'}, {'role': 'user', 'content': 'hi'}, {'role': 'assistant', 'content': ' Hello! How can I help you today?\n'}]",,1,2024-01-18 10:59:01,2
general,"[{'role': 'user', 'content': 'hi'}, {'role': 'assistant', 'content': ' Hello! How can I help you today?\n'}]",,0,2024-01-18 10:59:10,3
general,"[{'role': 'user', 'content': 'hi'}, {'role': 'assistant', 'content': ' Hello! How can I help you today?\n'}, {'role': 'user', 'content': 'write me a poem'}, {'role': 'assistant', 'content': "" I'd be happy to help you craft a poem, but I need some context or theme in mind. Here's an example of a nature-themed poem:\n\nIn the quiet hush of twilight hours,\nWhere sunset paints the sky with colors so pure,\nThe day surrenders gently to night's allure,\nAnd whispers secrets only stars can hear.\nBeneath this canvas vast and wide, I stand in awe,\nAs nature weaves her magic spell that draws me raw.\nIn every leafy branch adorned with dew-kissed grace,\nI find the gentle touch of time's eternal face.""}]",,1,2024-01-18 11:00:33,nice
general,"[{'role': 'user', 'content': 'Hi'}, {'role': 'assistant', 'content': 'Hello! How can I help you today?\n\n'}, {'role': 'user', 'content': ""I'm bruno""}, {'role': 'assistant', 'content': 'Hello Bruno, nice to meet you. Is there a specific question or topic you have in mind that you would like assistance with? I am here to help answer any questions and provide information on various topics. Let me know how I can be of service!\n\n'}, {'role': 'user', 'content': 'what is my name?'}, {'role': 'assistant', 'content': "" Based on the conversation we've had so far, your name is Bruno. Is there something specific you would like to ask or discuss related to that name or any other topic for that matter? I am here to help answer questions and provide information! Let me know how I can be of service!\n\n""}, {'role': 'user', 'content': 'I like tennis'}, {'role': 'assistant', 'content': "" Great choice, Bruno! Tennis is a fantastic sport. Would you like some general information about it, such as its history or rules? Or perhaps you'd prefer to discuss specific players, tournaments, or techniques related to the game of tennis? Let me know how I can help make this conversation more enjoyable and informative for you!\n\n""}, {'role': 'user', 'content': 'what is my name'}, {'role': 'assistant', 'content': ' Based on our previous conversations in this chat session, your name has been established as Bruno. Is there something specific about tennis or any other topic that you would like to know or discuss? I am here to help answer questions and provide information on a wide range of topics! Let me know how I can be of service!\n\n\n'}]",,0,2024-01-18 11:09:01,bad
general,"[{'role': 'user', 'content': 'Hi'}, {'role': 'assistant', 'content': 'Hello! How can I help you today?\n\n'}, {'role': 'user', 'content': 'my name is name'}, {'role': 'assistant', 'content': "" Nice to meet you, Name. Is there a specific question or topic you'd like to discuss? I'm here to provide information and answer any questions you might have. For example, if it's about the weather, science facts, recipes or even just for a friendly chat! Let me know how I can assist you today :)\n\n""}]",,1,2024-01-18 14:17:24,cool
general,"[{'role': 'user', 'content': 'Hi'}, {'role': 'assistant', 'content': 'Hello! How can I help you today?\n\n'}, {'role': 'user', 'content': 'my name is name'}, {'role': 'assistant', 'content': "" Nice to meet you, Name. Is there a specific question or topic you'd like to discuss? I'm here to provide information and answer any questions you might have. For example, if it's about the weather, science facts, recipes or even just for a friendly chat! Let me know how I can assist you today :)\n\n""}]",,0,2024-01-18 14:17:34,zaedzae
general,"[{'role': 'user', 'content': 'comment me faire rembourser les frais de voyage ?'}, {'role': 'assistant', 'content': "" Pour obtenir le remboursement de vos frais professionnels, dont ceux liés au transport lorsque vous déplacez-vous pour des raisons d'affaires, il est nécessaire que vous soumettez votre ordre de mission et votre note de frais via l’application N2F : <https://www.n2f.com/fr/note-de-frais>. Si vous bénéficiez d'une gratification mensuelle, le remboursement se fera sur ce bulletin ; sinon, il sera effectué par note de frais. En cas de forfait mobilités durables (jusqu'à 240€), demandez-le auprès du service RH avant que le mois échue pour être pris en charge."", 'sources': ""##### Sources:\n\n1. <a href='http://qms-toulouse.kratos.us/internal/HR/Livret_des_Salaries.html#les-frais-professionnels' target='_blank'>Livret_des_Salaries.html#les-frais-professionnels</a><br>\n2. <a href='http://qms-toulouse.kratos.us/internal/HR/Livret_Accueil_Stagiaires.html#transports' target='_blank'>Livret_Accueil_Stagiaires.html#transports</a><br>\n""}, {'role': 'user', 'content': 'comment fonctionne cette application'}, {'role': 'assistant', 'content': "" L'application N2F est utilisée pour soumettre et obtenir le remboursement des frais professionnels, y compris les déplacements lorsque vous voyagez à titre d’affaires. Pour utiliser l'application, il faut créer un compte sur son site web (<https://www.n2f.com/fr/>) et soumettre une note de frais avec des preuves justificatives après chaque dépense professionnel inscrite dans cette application. Les informations nécessaires pour le remboursement, telles que les ordres de mission, doivent également être fournies à l'application via N2F. Si vous bénéficiez d’une gratification mensuelle ou si des frais forfaitaires sont prévus dans votre contrat (jusqu'à 240€), le remboursement se fera de différentes manières en fonction du cas particulier."", 'sources': ""##### Sources:\n\n1. <a href='http://qms-toulouse.kratos.us/internal/HR/Livret_des_Salaries.html#les-frais-professionnels' target='_blank'>Livret_des_Salaries.html#les-frais-professionnels</a><br>\n2. <a href='http://qms-toulouse.kratos.us/Customer_Support_Data_Process.html#process' target='_blank'>Customer_Support_Data_Process.html#process</a><br>\n3. <a href='http://qms-toulouse.kratos.us/Software_Developers_Guide.html#software-developers-guide-1' target='_blank'>Software_Developers_Guide.html#software-developers-guide-1</a><br>\n""}]",,1,2024-01-19 09:49:31,test
general,"[{'role': 'user', 'content': ""je cherche ce qu'il faut imputer dans le timesheet pour un repos ?""}, {'role': 'assistant', 'content': "" Pour indiquer des heures consacrées à une absence, telles que congés payés (F3001.001.VAC), RTT ou CL (si applicable) sur votre feuille de présence, vous devrez imputer les heures appropriées sous ces codes respectifs dans le timesheet avant partir en repos si c'est une semaine complète ou au plus tard vendredi s'il reste encore des jours à travailler dans la semaine. Vous ne pouvez poser que des demi-journées d’absence, et les heures de vacances feriées doivent être imputées sous le code F3001.001.HOL ."", 'sources': ""##### Sources:\n\n1. <a href='http://qms-toulouse.kratos.us/internal/HR/Livret_Accueil_Stagiaires.html#fonctionnement-des-feuilles-de-présence-timesheet' target='_blank'>Livret_Accueil_Stagiaires.html#fonctionnement-des-feuilles-de-présence-timesheet</a><br>\n2. <a href='http://qms-toulouse.kratos.us/internal/HR/Livret_des_Salaries.html#jours-de-repos' target='_blank'>Livret_des_Salaries.html#jours-de-repos</a><br>\n""}]",,1,2024-01-19 09:51:47,cool !
